Date,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,RELIANCE.NS,TCS.NS
2023-04-11,759.9862060546875,800.3262939453125,2411.41455078125,860.5938720703125,1289.6187744140625,348.65478515625,368.1676940917969,2236.996337890625,1066.535888671875,2955.634765625
2023-04-12,756.9918823242188,810.7196044921875,2393.62060546875,868.64453125,1309.9332275390625,346.4976806640625,367.67919921875,2224.36083984375,1071.23779296875,2981.247802734375
2023-04-13,753.0160522460938,814.352294921875,2400.482666015625,877.2807006835938,1274.0732421875,348.3025817871094,372.7535705566406,2195.444580078125,1075.27783203125,2932.689453125
2023-04-17,745.75146484375,801.938232421875,2415.294921875,879.5250854492188,1154.021484375,352.30865478515625,377.86785888671875,2151.948486328125,1080.73291015625,2887.303466796875
2023-04-18,745.8496704101562,798.5459594726562,2405.072998046875,875.1826171875,1154.9844970703125,350.8558349609375,376.5020751953125,2154.475830078125,1068.3619384765625,2879.256591796875
2023-04-19,750.6599731445312,801.4810791015625,2396.12890625,870.3522338867188,1130.0843505859375,351.07598876953125,375.82415771484375,2157.3916015625,1073.6800537109375,2841.411865234375
2023-04-20,758.1699829101562,804.4644165039062,2359.2158203125,872.7918701171875,1122.013671875,352.4407043457031,375.6446838378906,2170.173095703125,1070.9638671875,2855.3916015625
2023-04-21,751.199951171875,805.7634887695312,2364.279541015625,864.2532348632812,1125.6363525390625,359.4401550292969,377.5688171386719,2153.114990234375,1072.310546875,2906.938720703125
2023-04-24,746.3404541015625,812.2833862304688,2365.983154296875,882.8917846679688,1124.6734619140625,359.83636474609375,378.2865905761719,2166.430908203125,1076.4190673828125,2919.768310546875
2023-04-25,758.4644775390625,800.7353515625,2357.18115234375,891.3815307617188,1123.3892822265625,362.3456726074219,376.701416015625,2184.947021484375,1084.65869140625,2920.871826171875
2023-04-26,759.2990112304688,804.4161987304688,2376.442138671875,892.8453369140625,1125.81982421875,362.96197509765625,374.5680236816406,2212.3564453125,1078.290771484375,2941.2421875
2023-04-27,772.1102294921875,808.8429565429688,2336.83154296875,896.1632080078125,1142.969970703125,366.2635803222656,380.54962158203125,2240.9814453125,1085.115234375,2931.86181640625
2023-04-28,784.676025390625,812.0186767578125,2325.804931640625,895.4801025390625,1148.9312744140625,374.67181396484375,386.4215393066406,2298.133056640625,1104.949951171875,2960.6474609375
2023-05-02,775.7425537109375,811.8502807617188,2320.50439453125,899.8225708007812,1171.5843505859375,373.7033386230469,383.05194091796875,2317.621337890625,1114.3310546875,2960.78564453125
2023-05-03,765.0419311523438,814.689208984375,2352.96875,900.5545043945312,1163.97216796875,376.08050537109375,385.00592041015625,2290.260498046875,1104.767333984375,2924.458251953125
2023-05-04,774.6626586914062,831.3616333007812,2372.608642578125,899.4323120117188,1168.007568359375,373.8354187011719,388.32568359375,2290.843505859375,1117.503662109375,2961.98095703125
2023-05-05,772.8956298828125,782.2103881835938,2366.929443359375,904.555419921875,1154.7550048828125,377.4892272949219,384.5572814941406,2310.865966796875,1114.6505126953125,2971.177490234375
2023-05-08,779.2276000976562,791.2562866210938,2381.647705078125,915.2409057617188,1160.7164306640625,379.86639404296875,390.56878662109375,2299.105224609375,1128.4140625,2989.479248046875
2023-05-09,779.0802612304688,791.2803344726562,2381.174072265625,911.8255004882812,1165.3936767578125,373.1310119628906,389.6615905761719,2307.804443359375,1131.9061279296875,3019.506103515625
2023-05-10,781.4854736328125,794.937255859375,2387.705078125,913.435546875,1158.5614013671875,374.4957275390625,390.5389099121094,2298.181884765625,1139.6895751953125,3022.77099609375
2023-05-11,774.1717529296875,795.4664916992188,2453.67529296875,916.509521484375,1152.0037841796875,370.1375427246094,390.3893737792969,2179.3095703125,1132.24853515625,3018.494384765625
2023-05-12,777.4605102539062,802.4916381835938,2483.01611328125,921.095947265625,1142.0069580078125,370.1816101074219,390.917724609375,2158.849853515625,1134.0972900390625,3011.275390625
2023-05-15,782.4671630859375,806.3410034179688,2519.78759765625,922.9012451171875,1154.0672607421875,376.6528015136719,393.3901672363281,2183.8779296875,1136.334228515625,2993.572021484375
2023-05-16,772.9446411132812,801.7174072265625,2532.706787109375,923.4867553710938,1159.5242919921875,373.26312255859375,388.2160339355469,2164.778564453125,1120.1513671875,2996.422607421875
2023-05-17,777.7550048828125,797.4102172851562,2519.314208984375,916.6558227539062,1143.5660400390625,376.4766845703125,380.6593017578125,2157.3916015625,1113.5322265625,2950.945068359375
2023-05-18,784.72509765625,800.5980224609375,2486.9443359375,923.633056640625,1142.74072265625,369.521240234375,384.298095703125,2126.871826171875,1111.1356201171875,2942.8056640625
2023-05-19,791.0079956054688,801.5228271484375,2500.100341796875,931.2446899414062,1163.7430419921875,369.6532897949219,387.13934326171875,2128.669921875,1114.741943359375,2963.958251953125
2023-05-22,787.1793823242188,798.6757202148438,2496.929931640625,927.3900146484375,1185.6624755859375,373.9674987792969,386.8502502441406,2154.475830078125,1120.6990966796875,3033.71533203125
2023-05-23,785.3141479492188,796.8018798828125,2487.654296875,930.366455078125,1192.3115234375,377.8414001464844,383.1217041015625,2136.056640625,1120.49365234375,3032.197509765625
2023-05-24,786.7376098632812,786.3868408203125,2475.0185546875,917.9244995117188,1191.02734375,381.67132568359375,380.8985595703125,2123.906982421875,1113.9656982421875,3037.99169921875
2023-05-25,807.6478881835938,783.3693237304688,2458.265625,917.143798828125,1196.2550048828125,388.4067077636719,384.8065185546875,2142.908935546875,1113.828857421875,3028.932861328125
2023-05-26,802.9848022460938,786.3868408203125,2510.417236328125,927.731689453125,1208.2694091796875,390.56378173828125,387.8172607421875,2156.27392578125,1144.208740234375,3061.489013671875
2023-05-29,806.2244262695312,795.9744873046875,2508.47705078125,925.2433471679688,1205.472412109375,395.4062194824219,389.4422912597656,2162.202880859375,1150.6453857421875,3053.626220703125
2023-05-30,803.4756469726562,796.5828857421875,2514.392333984375,926.9998168945312,1214.13916015625,405.0078430175781,393.7290954589844,2148.838134765625,1150.3486328125,3049.809326171875
2023-05-31,834.3502807617188,783.9777221679688,2524.8037109375,926.2191162109375,1209.049072265625,401.0468444824219,401.634765625,2143.83251953125,1127.5009765625,3025.25390625
2023-06-01,812.8018188476562,780.6439208984375,2553.52978515625,913.484375,1210.1495361328125,395.8255920410156,384.82647705078125,2145.92236328125,1124.4652099609375,3056.982421875
2023-06-02,821.1954345703125,781.8606567382812,2571.32373046875,915.48486328125,1207.361328125,399.1564025878906,386.5611267089844,2171.9228515625,1120.7904052734375,3040.06103515625
2023-06-05,819.2319946289062,780.838623046875,2551.542236328125,923.8770751953125,1212.47314453125,396.6808166503906,383.7996520996094,2204.726806640625,1130.8563232421875,3024.7021484375
2023-06-06,814.2743530273438,778.4051513671875,2547.14111328125,919.3394165039062,1188.772216796875,398.6163024902344,390.60870361328125,2214.106201171875,1131.8148193359375,2972.649169921875
2023-06-07,828.8036499023438,782.4446411132812,2570.8505859375,917.4852905273438,1198.0201416015625,399.65155029296875,386.6907653808594,2250.60400390625,1140.3970947265625,3011.8271484375
2023-06-08,820.7045288085938,782.9312744140625,2536.49267578125,915.2409057617188,1192.3040771484375,398.706298828125,376.1431579589844,2274.708984375,1141.081787109375,2976.466064453125
2023-06-09,818.2503051757812,783.8560180664062,2495.13134765625,915.3872680664062,1176.6427001953125,394.7003479003906,373.2520751953125,2296.7724609375,1133.001708984375,2951.49658203125
2023-06-12,821.0481567382812,779.0865478515625,2501.99365234375,913.3380737304688,1200.8084716796875,393.3500061035156,374.73748779296875,2274.36865234375,1134.0059814453125,2986.076416015625
2023-06-13,819.084716796875,780.4005737304688,2532.706787109375,920.75439453125,1212.7987060546875,400.9568176269531,370.0519104003906,2288.413330078125,1150.759521484375,2983.13330078125
2023-06-14,812.8018188476562,779.5488891601562,2554.33447265625,917.0950317382812,1208.66259765625,400.14666748046875,371.78656005859375,2289.04541015625,1164.910888671875,2989.892578125
2023-06-15,814.5198364257812,769.961181640625,2545.768310546875,904.2138671875,1196.02197265625,403.387451171875,365.5757141113281,2295.1201171875,1165.23046875,2979.932861328125
2023-06-16,822.4715576171875,780.0355224609375,2570.329833984375,911.6303100585938,1200.530029296875,407.8885192871094,370.3410339355469,2300.466064453125,1176.574462890625,2941.57568359375
2023-06-19,812.9981689453125,780.7169799804688,2560.40576171875,900.8472900390625,1202.7139892578125,408.338623046875,363.7911682128906,2300.028564453125,1164.88818359375,2974.4658203125
2023-06-20,815.992431640625,782.3473510742188,2553.58349609375,903.1892700195312,1211.4508056640625,407.6634826660156,367.6692199707031,2315.240234375,1167.3074951171875,2990.495361328125
2023-06-21,823.649658203125,796.0231323242188,2554.060791015625,902.3598022460938,1207.6865234375,402.4422302246094,367.978271484375,2327.34130859375,1170.5943603515625,3018.75390625
2023-06-22,827.380126953125,799.9166870117188,2532.829345703125,903.3843994140625,1191.142333984375,402.9822998046875,366.0940856933594,2348.5302734375,1157.4471435546875,3000.5009765625
